propozitie,cuvant,user,petru,victor,stadio88,iulia,sergiu
"Cu toate acestea, în general, este necesar să se aplice aceste legi la un volum de control infinitezimal, apoi să se utilizeze ecuațiile diferențiale rezultate.",rezultate,1,2,2,2,2,2
"Cu toate acestea, este rareori  nevoie să spunem că acest artificiu  ar avea o valoare limitată dacă am ști că mitul  este o minciună.",rareori,1,1,1,1,2,1
"Cu toate acestea, este rareori nevoie să spunem că acest artificiu ar avea o valoare limitată dacă am ști că mitul este o minciună.",artificiu,2,2,2,2,4,3
"Cu toate acestea, este rareori nevoie să spunem că acest artificiu ar avea o valoare limitată dacă am ști că mitul este o minciună.",mitul,1,2,2,2,4,2
"Cu toate acestea, ar trebui să fie clar că diferite lungimi de undă vor suferi  interferențe constructive  pentru diferite unghiuri  de incidență a luminii primite.",suferi,1,1,2,1,4,2
"Cu toate acestea, ar trebui să fie clar că diferite lungimi de undă vor suferi interferențe constructive pentru diferite unghiuri de incidență a luminii primite.",constructive,2,2,2,4,4,4
"Cu toate acestea, ar trebui să fie clar că diferite lungimi de undă vor suferi interferențe constructive pentru diferite unghiuri de incidență a luminii primite.",unghiuri,2,2,2,1,4,1
"Cu toate acestea, atenuarea nu poate merge decât până la nivelul plasticii sinaptice  și corticale a creierului, deoarece gravitatea ADHD  depinde  în principal  de aspectele neurobiologice.",sinaptice,2,4,4,4,5,4
"Cu toate acestea, atenuarea nu poate merge decât până la nivelul plasticii sinaptice și corticale a creierului, deoarece gravitatea ADHD depinde în principal de aspectele neurobiologice.",depinde,1,1,2,1,4,1
"Cu toate acestea, atenuarea nu poate merge decât până la nivelul plasticii sinaptice și corticale a creierului, deoarece gravitatea ADHD depinde în principal de aspectele neurobiologice.",principal,2,1,2,2,2,1
"Peroxidul  de hidrogen se va degrada spontan  în apă și oxigen molecular, însă prezența unui catalizator accelerează  această reacție până la punctul în care a fost folosit ca sursă de combustibil pentru torpile și chiar pentru nave spațiale.",Peroxidul,2,5,4,2,5,4
"Peroxidul de hidrogen se va degrada spontan în apă și oxigen molecular, însă prezența unui catalizator accelerează această reacție până la punctul în care a fost folosit ca sursă de combustibil pentru torpile și chiar pentru nave spațiale.",spontan,1,2,2,2,4,3
"Peroxidul de hidrogen se va degrada spontan în apă și oxigen molecular, însă prezența unui catalizator accelerează această reacție până la punctul în care a fost folosit ca sursă de combustibil pentru torpile și chiar pentru nave spațiale.",accelerează,1,2,2,2,4,1
Apreciez cu adevărat spiritul de colaborare  al acestei platforme  și mă angajez  să fiu mai vigilent în ceea ce privește problemele legate de drepturile de autor în viitor.,colaborare,1,2,2,1,4,1
