sentence,word,average_complexity,total_reading_time
"Budismulșijainismulaumultetemeșipracticicomune,inclusivaccentulpuspenonviolențășicredințacăseajungelaeliberareprinrenunțarealalegăturilelumeșticareîileagăpeindivizideiluzieprinprocesuldekarma,acumulareademeritebuneșirele.",accentul,0.5,635.0
"Budismulșijainismulaumultetemeșipracticicomune,inclusivaccentulpuspenonviolențășicredințacăseajungelaeliberareprinrenunțarealalegăturilelumeșticareîileagăpeindivizideiluzieprinprocesuldekarma,acumulareademeritebuneșirele.",eliberare,0.5,1390.0
"Budismulșijainismulaumultetemeșipracticicomune,inclusivaccentulpuspenonviolențășicredințacăseajungelaeliberareprinrenunțarealalegăturilelumeșticareîileagăpeindivizideiluzieprinprocesuldekarma,acumulareademeritebuneșirele.",acumularea,0.0,617.0
"Pânăînanii1960,totmaimultetrimiteripoștaleeraufrancatecumasinidefrancatdecâtcutimbreadezivetradiționale.",francate,1.0,1679.0
"Pânăînanii1960,totmaimultetrimiteripoștaleeraufrancatecumasinidefrancatdecâtcutimbreadezivetradiționale.",adezive,0.25,750.0
Calculareaunorastfeldecapacitanțeșiexploatareasauluareamăsurilornecesarepentrualecontracarareprezintăoproblemăimportantăîningineriacircuitelorelectrice.,contracara,0.75,2272.0
Calculareaunorastfeldecapacitanțeșiexploatareasauluareamăsurilornecesarepentrualecontracarareprezintăoproblemăimportantăîningineriacircuitelorelectrice.,electrice,0.0,396.0
"Capitolulaldoileainvestigheazăaceastălegăturăpuținmaiamănunțit,discutândgimnasticamentalăarezolvăriiproblemelor.",amănunțit,0.0,398.0
"Capitolulaldoileainvestigheazăaceastălegăturăpuținmaiamănunțit,discutândgimnasticamentalăarezolvăriiproblemelor.",discutând,0.0,1178.0
"Capitolulaldoileainvestigheazăaceastălegăturăpuținmaiamănunțit,discutândgimnasticamentalăarezolvăriiproblemelor.",gimnastica,0.0,677.0
"Încurajatdesusținătoriidinsud(mulțidintreeii-autrimisluiBrooksbastoanenoi,însemndeaprobareaacțiunilorsale),s-aîntorsdupăorealegererăsunătoare.",susținătorii,0.25,670.0
"Încurajatdesusținătoriidinsud(mulțidintreeii-autrimisluiBrooksbastoanenoi,însemndeaprobareaacțiunilorsale),s-aîntorsdupăorealegererăsunătoare.",dintre,0.0,185.0
"Încurajatdesusținătoriidinsud(mulțidintreeii-autrimisluiBrooksbastoanenoi,însemndeaprobareaacțiunilorsale),s-aîntorsdupăorealegererăsunătoare.",răsunătoare,0.5,1261.0
FacețiclicpebutonulMACsauWINatașatpentruadescărcafișierulfontzipuit.,descărca,0.25,370.0
FacețiclicpebutonulMACsauWINatașatpentruadescărcafișierulfontzipuit.,font,0.5,311.0
"Configurațiapoatefi,deasemenea,atribuităpebazapurempiricăaactivitățiioptice.",atribuită,0.5,621.0
"Configurațiapoatefi,deasemenea,atribuităpebazapurempiricăaactivitățiioptice.",pur,0.0,183.0
"Configurațiapoatefi,deasemenea,atribuităpebazapurempiricăaactivitățiioptice.",empirică,0.75,425.0
"Înprezent,unlocesteegalcuaproximativ600000dealegători.",egal,0.0,186.0
"Înprezent,unlocesteegalcuaproximativ600000dealegători.",aproximativ,0.25,985.0
"Înprezent,unlocesteegalcuaproximativ600000dealegători.",alegători,0.0,501.0
"Fonturiledecorativesuntmaipotrivitepentrucaracteredeafișare(maimaride14puncte),întimpcecaracterelemaisimplesuntmaipotrivitepentrutext(maipuținde14puncte).",Fonturile,0.5,874.0
"Fonturiledecorativesuntmaipotrivitepentrucaracteredeafișare(maimaride14puncte),întimpcecaracterelemaisimplesuntmaipotrivitepentrutext(maipuținde14puncte).",potrivite,0.0,556.0
"Fonturiledecorativesuntmaipotrivitepentrucaracteredeafișare(maimaride14puncte),întimpcecaracterelemaisimplesuntmaipotrivitepentrutext(maipuținde14puncte).",simple,0.0,494.0
"Înciudaacestuifapt,putemvedeacăexistăîncăoanumităinteracțiuneîntreDumbledoreșiMcGonagall,McGonagallfiindoinfluențămoderatăasupratuturorpărților,întimpcemanifestăoloialitatefermăfațădeDumbledore.",loialitate,0.25,303.0
"Înciudaacestuifapt,putemvedeacăexistăîncăoanumităinteracțiuneîntreDumbledoreșiMcGonagall,McGonagallfiindoinfluențămoderatăasupratuturorpărților,întimpcemanifestăoloialitatefermăfațădeDumbledore.",fermă,0.0,729.0
"Aufostprodusedrame,comediișitoatecelelalteformededivertisment,precumșiemisiunideștirișimuzică.",comedii,0.0,247.0
"Aufostprodusedrame,comediișitoatecelelalteformededivertisment,precumșiemisiunideștirișimuzică.",divertisment,0.0,540.0
"Aufostprodusedrame,comediișitoatecelelalteformededivertisment,precumșiemisiunideștirișimuzică.",emisiuni,0.0,557.0
Scoateți-lepringăurirefolosindovitezăfoartemicădegăuriresauutilizațiounealtădeextragereașuruburilorpentrușuruburileblocate.,găurire,0.0,482.0
Scoateți-lepringăurirefolosindovitezăfoartemicădegăuriresauutilizațiounealtădeextragereașuruburilorpentrușuruburileblocate.,unealtă,0.0,682.0
Scoateți-lepringăurirefolosindovitezăfoartemicădegăuriresauutilizațiounealtădeextragereașuruburilorpentrușuruburileblocate.,blocate,0.0,620.0
Fiecareparteși-adeterminatnoiipartenerisăsealătureprinoferireadeconcesiiteritoriale.,parteneri,0.25,1124.0
Fiecareparteși-adeterminatnoiipartenerisăsealătureprinoferireadeconcesiiteritoriale.,alăture,0.0,1574.0
Fiecareparteși-adeterminatnoiipartenerisăsealătureprinoferireadeconcesiiteritoriale.,oferirea,0.0,415.0
"Înfiecarean,număruldemembriaiacestuiclubcrește,iarnevoiadelideridegrupurimici,cunoscuțișisubnumeledeFacilitatoridenucleu,încăminecreșteșiea.",numărul,0.0,432.0
"Înfiecarean,număruldemembriaiacestuiclubcrește,iarnevoiadelideridegrupurimici,cunoscuțișisubnumeledeFacilitatoridenucleu,încăminecreșteșiea.",membri,0.0,495.0
"Înfiecarean,număruldemembriaiacestuiclubcrește,iarnevoiadelideridegrupurimici,cunoscuțișisubnumeledeFacilitatoridenucleu,încăminecreșteșiea.",cămine,0.25,247.0
"Lentilelecuzoommotorizate,controlateelectronic,suntamplasateatâtpecameră,câtșipeproiectorșisuntsincronizateîntreele,astfelîncâtambelelentilesămăreascăîmpreunășilaaceeașidistanțăfocalăînoricemoment.",zoom,0.75,407.0
"Lentilelecuzoommotorizate,controlateelectronic,suntamplasateatâtpecameră,câtșipeproiectorșisuntsincronizateîntreele,astfelîncâtambelelentilesămăreascăîmpreunășilaaceeașidistanțăfocalăînoricemoment.",motorizate,0.5,950.0
"Lentilelecuzoommotorizate,controlateelectronic,suntamplasateatâtpecameră,câtșipeproiectorșisuntsincronizateîntreele,astfelîncâtambelelentilesămăreascăîmpreunășilaaceeașidistanțăfocalăînoricemoment.",focală,1.0,309.0
"Condițiiledemediu,cumarficurentulsaugradiențiidetemperaturăfacecabulasăsesepare,determinândformareaadouăbulecareconținconcentrațiisimilaredemateriale.",gradienții,0.75,1184.0
"Patriotcaîntotdeauna,LaurensacontinuatsăîșiserveascănațiuneacaunuldintreceitreireprezentanțiselectațipentruanegociacondițiilelaConferințadepacedelaParisdin1782.",continuat,0.0,925.0
"Patriotcaîntotdeauna,LaurensacontinuatsăîșiserveascănațiuneacaunuldintreceitreireprezentanțiselectațipentruanegociacondițiilelaConferințadepacedelaParisdin1782.",selectați,0.0,664.0
"Patriotcaîntotdeauna,LaurensacontinuatsăîșiserveascănațiuneacaunuldintreceitreireprezentanțiselectațipentruanegociacondițiilelaConferințadepacedelaParisdin1782.",negocia,0.25,373.0
Totceeacestudiațiesteconceputpentruavăpregătipentrusintezeorganiceșialtetransformărichimiceefectuateînlaborator.,pregăti,0.0,370.0
Totceeacestudiațiesteconceputpentruavăpregătipentrusintezeorganiceșialtetransformărichimiceefectuateînlaborator.,transformări,0.5,2248.0
Totceeacestudiațiesteconceputpentruavăpregătipentrusintezeorganiceșialtetransformărichimiceefectuateînlaborator.,efectuate,0.25,1542.0
Exercițiileșisecțiunilederecapitularecontribuieînmodideallaunmodelderepetițieconceput.,contribuie,0.0,909.0
Exercițiileșisecțiunilederecapitularecontribuieînmodideallaunmodelderepetițieconceput.,ideal,0.5,349.0
Exercițiileșisecțiunilederecapitularecontribuieînmodideallaunmodelderepetițieconceput.,repetiție,0.5,1053.0
"Liniilerigidesuntadesearealizatepentruafipresurizatecuazotsauaerdeshidratat,careasigurăundielectricexcelentchiarșilatemperaturileridicategeneratedemiidewațideenergieRF,înspecialîntimpulcălduriiintensedevarășiasoarelui.",deshidratat,0.75,1908.0
"Liniilerigidesuntadesearealizatepentruafipresurizatecuazotsauaerdeshidratat,careasigurăundielectricexcelentchiarșilatemperaturileridicategeneratedemiidewațideenergieRF,înspecialîntimpulcălduriiintensedevarășiasoarelui.",wați,0.75,535.0
"Liniilerigidesuntadesearealizatepentruafipresurizatecuazotsauaerdeshidratat,careasigurăundielectricexcelentchiarșilatemperaturileridicategeneratedemiidewațideenergieRF,înspecialîntimpulcălduriiintensedevarășiasoarelui.",intense,0.5,482.0
"Elcredecăeiexprimăaceleașipreocupăripecarelesimteșiel,darîntr-unmoddiferit,șicăesteobligatmoralsăîitolerezepentrucăsuntmaislabidecâtel.",crede,0.0,233.0
"Elcredecăeiexprimăaceleașipreocupăripecarelesimteșiel,darîntr-unmoddiferit,șicăesteobligatmoralsăîitolerezepentrucăsuntmaislabidecâtel.",moral,0.5,721.0
"Elcredecăeiexprimăaceleașipreocupăripecarelesimteșiel,darîntr-unmoddiferit,șicăesteobligatmoralsăîitolerezepentrucăsuntmaislabidecâtel.",tolereze,0.5,950.0
"AavutundosardeserviciuexemplarșiaprimitprestigioasaCrucedeFier,atâtdeclasaI,câtșideclasaaII-a,șiaobținut,deasemenea,gradulnedistinsdecaporal.",prestigioasa,0.25,1060.0
"AavutundosardeserviciuexemplarșiaprimitprestigioasaCrucedeFier,atâtdeclasaI,câtșideclasaaII-a,șiaobținut,deasemenea,gradulnedistinsdecaporal.",gradul,0.25,475.0
"Deasemenea,afostresponsabildecontrabandăcudrogurișidecrimeșiamituitatâtpoliția,câtșipoliticieniimportanți.",droguri,0.0,733.0
"Deasemenea,afostresponsabildecontrabandăcudrogurișidecrimeșiamituitatâtpoliția,câtșipoliticieniimportanți.",mituit,0.25,805.0
"Deasemenea,afostresponsabildecontrabandăcudrogurișidecrimeșiamituitatâtpoliția,câtșipoliticieniimportanți.",poliția,0.0,309.0
"Unmodeldespideringintenspoateducelablocareaaccesuluilasite,cuprejudicii,aspider-uluisauaIP-uluidumneavoastră.",blocarea,0.25,620.0
"Unmodeldespideringintenspoateducelablocareaaccesuluilasite,cuprejudicii,aspider-uluisauaIP-uluidumneavoastră.",prejudicii,0.75,1281.0
"Cutoateacestea,dacăprogramulesteunfeldeeditorcareruleazăpeundesktop,esteposibilsădorițisăoferițioperatoruluiopțiuneadeasalvainformațiileintrodusecutrudăînlocsăiasădinprogram.",salva,0.25,252.0
"Cutoateacestea,dacăprogramulesteunfeldeeditorcareruleazăpeundesktop,esteposibilsădorițisăoferițioperatoruluiopțiuneadeasalvainformațiileintrodusecutrudăînlocsăiasădinprogram.",trudă,0.25,500.0
"Cutoateacestea,dacăprogramulesteunfeldeeditorcareruleazăpeundesktop,esteposibilsădorițisăoferițioperatoruluiopțiuneadeasalvainformațiileintrodusecutrudăînlocsăiasădinprogram.",iasă,0.25,349.0
"Cutoateacestea,ploileabundenteșipersistenteșifurtunilepotprovocainundațiișiînnămolireasolului,precumșieroziunegravăcauzatădeploi.",abundente,0.0,739.0
"Cutoateacestea,ploileabundenteșipersistenteșifurtunilepotprovocainundațiișiînnămolireasolului,precumșieroziunegravăcauzatădeploi.",persistente,0.25,1590.0
"Cutoateacestea,ploileabundenteșipersistenteșifurtunilepotprovocainundațiișiînnămolireasolului,precumșieroziunegravăcauzatădeploi.",furtunile,0.0,833.0
"Cutoateacestea,îngeneral,estenecesarsăseapliceacestelegilaunvolumdecontrolinfinitezimal,apoisăseutilizezeecuațiilediferențialerezultate.",infinitezimal,1.0,1595.0
"Cutoateacestea,îngeneral,estenecesarsăseapliceacestelegilaunvolumdecontrolinfinitezimal,apoisăseutilizezeecuațiilediferențialerezultate.",diferențiale,0.75,1160.0
"Cutoateacestea,îngeneral,estenecesarsăseapliceacestelegilaunvolumdecontrolinfinitezimal,apoisăseutilizezeecuațiilediferențialerezultate.",rezultate,0.25,493.0
"Cutoateacestea,artrebuisăfieclarcădiferitelungimideundăvorsuferiinterferențeconstructivepentrudiferiteunghiurideincidențăaluminiiprimite.",suferi,0.25,436.0
"Cutoateacestea,artrebuisăfieclarcădiferitelungimideundăvorsuferiinterferențeconstructivepentrudiferiteunghiurideincidențăaluminiiprimite.",constructive,0.75,63.0
"Cutoateacestea,atenuareanupoatemergedecâtpânălanivelulplasticiisinapticeșicorticaleacreierului,deoarecegravitateaADHDdepindeînprincipaldeaspecteleneurobiologice.",sinaptice,0.75,804.0
"Cutoateacestea,atenuareanupoatemergedecâtpânălanivelulplasticiisinapticeșicorticaleacreierului,deoarecegravitateaADHDdepindeînprincipaldeaspecteleneurobiologice.",depinde,0.0,621.0
"Cutoateacestea,atenuareanupoatemergedecâtpânălanivelulplasticiisinapticeșicorticaleacreierului,deoarecegravitateaADHDdepindeînprincipaldeaspecteleneurobiologice.",principal,0.0,554.0
"Peroxiduldehidrogensevadegradaspontanînapășioxigenmolecular,însăprezențaunuicatalizatoraccelereazăaceastăreacțiepânălapunctulîncareafostfolositcasursădecombustibilpentrutorpileșichiarpentrunavespațiale.",Peroxidul,0.75,850.0
"Peroxiduldehidrogensevadegradaspontanînapășioxigenmolecular,însăprezențaunuicatalizatoraccelereazăaceastăreacțiepânălapunctulîncareafostfolositcasursădecombustibilpentrutorpileșichiarpentrunavespațiale.",spontan,0.5,1956.0
"Peroxiduldehidrogensevadegradaspontanînapășioxigenmolecular,însăprezențaunuicatalizatoraccelereazăaceastăreacțiepânălapunctulîncareafostfolositcasursădecombustibilpentrutorpileșichiarpentrunavespațiale.",accelerează,0.0,984.0
"Dacănu,masațiușormușchiulcucrampe,putețiîncerca,deasemenea,săaplicațigheață.",masați,0.0,933.0
"Dacănu,masațiușormușchiulcucrampe,putețiîncerca,deasemenea,săaplicațigheață.",aplicați,0.0,953.0
"Dacăesteposibil,găsițiunapicultordinzonadumneavoastrăcarearputeafidispussăvăghidezesauchiarsăvăîndrumeîntimpulnouluidumneavoastrăinteres.",dispus,0.0,556.0
"Dacăesteposibil,găsițiunapicultordinzonadumneavoastrăcarearputeafidispussăvăghidezesauchiarsăvăîndrumeîntimpulnouluidumneavoastrăinteres.",îndrume,0.0,1157.0
"Dacăesteposibil,găsițiunapicultordinzonadumneavoastrăcarearputeafidispussăvăghidezesauchiarsăvăîndrumeîntimpulnouluidumneavoastrăinteres.",noului,0.0,826.0
"Înîncercareadeaîmbunătățiacuratețea,armataaangajatungrupmaredematematicienipentruacalculacontinuuecuațiilediferențialenecesarepentrurezolvareatabelelordetragerebalistică.",matematicieni,0.25,1766.0
"Înîncercareadeaîmbunătățiacuratețea,armataaangajatungrupmaredematematicienipentruacalculacontinuuecuațiilediferențialenecesarepentrurezolvareatabelelordetragerebalistică.",calcula,0.0,846.0
"Înîncercareadeaîmbunătățiacuratețea,armataaangajatungrupmaredematematicienipentruacalculacontinuuecuațiilediferențialenecesarepentrurezolvareatabelelordetragerebalistică.",continuu,0.5,653.0
"Lamultespeciianualeîncondițiinefavorabiledeuscăciunesaudefrig,existădoarsămânța.",anuale,0.0,681.0
"Lamultespeciianualeîncondițiinefavorabiledeuscăciunesaudefrig,existădoarsămânța.",nefavorabile,0.5,942.0
"Lamultespeciianualeîncondițiinefavorabiledeuscăciunesaudefrig,existădoarsămânța.",există,0.0,350.0
"ÎnnordulEuropei(nordulGermaniei,ȚăriledeJosșiFranța),clasademijlocaveatendințadeafiprotestantă,ceeacecorespundeacueticașifilozofiamuncii.",nordul,0.0,430.0
"ÎnnordulEuropei(nordulGermaniei,ȚăriledeJosșiFranța),clasademijlocaveatendințadeafiprotestantă,ceeacecorespundeacueticașifilozofiamuncii.",tendința,0.25,781.0
"ÎnnordulEuropei(nordulGermaniei,ȚăriledeJosșiFranța),clasademijlocaveatendințadeafiprotestantă,ceeacecorespundeacueticașifilozofiamuncii.",corespundea,0.25,519.0
"Pentruaobțineacestcâmp,cameratrebuiesăfiesuficientdereverberantă,iarfrecvențeletrebuiesăfiesuficientdeînaltepentruaevitaefectelemodurilorpredominante.",suficient,0.0,370.0
"Pentruaobțineacestcâmp,cameratrebuiesăfiesuficientdereverberantă,iarfrecvențeletrebuiesăfiesuficientdeînaltepentruaevitaefectelemodurilorpredominante.",frecvențele,0.75,765.0
"Pentruaobțineacestcâmp,cameratrebuiesăfiesuficientdereverberantă,iarfrecvențeletrebuiesăfiesuficientdeînaltepentruaevitaefectelemodurilorpredominante.",predominante,0.5,823.0
"Închimiaorganică,carbonulesteutilizatfoartefrecvent,astfelîncâtchimiștiiștiucăexistăunatomdecarbonlacapetelefiecăreiliniicarenuesteetichetatăînmodexplicit.",frecvent,0.0,768.0
"Închimiaorganică,carbonulesteutilizatfoartefrecvent,astfelîncâtchimiștiiștiucăexistăunatomdecarbonlacapetelefiecăreiliniicarenuesteetichetatăînmodexplicit.",chimiștii,0.0,665.0
